Controller,ControllerSlug,RunType,Simulation,Completed,FinalLongitude_deg,FinalLatitude_deg,FinalAltitude_km,FinalVelocity_kms,FinalHeatLoad_Jm2,FinalPositionX_km,FinalPositionY_km,FinalPositionZ_km,FinalCartesianPositionErrorNorm_km,FinalCartesianVelocityErrorNorm_kms
MPG-SM,sm_mpg,MonteCarlo,30,true,24.995053988845523,3.000294155326314,25.0,0.7556018263112836,101173.66734619456,5795.491522151625,2701.873028313469,335.1471263636853,0.5529659788267949,0.06274040971380189
MPG-SM,sm_mpg,MonteCarlo,31,true,24.99751338625774,3.000732969027643,25.0,0.7394057667486182,100363.14542641753,5795.373213507595,2702.120710120615,335.1960991194637,0.28934942554436915,0.047617773831825784
MPG-SM,sm_mpg,MonteCarlo,32,true,24.991072695992877,3.001017119218013,25.0,0.8050020127961592,100963.54124160126,5795.675418873193,2701.468525554505,335.2278110127639,1.002773739380407,0.1187796123269394
MPG-SM,sm_mpg,MonteCarlo,33,true,24.997097042841126,3.003848858587306,25.0,0.8156539512714188,99933.11238485681,5795.376318611255,2702.0708906145073,335.54383997114195,0.5384933276506974,0.13271129875981777
MPG-SM,sm_mpg,MonteCarlo,34,true,24.992289482547456,3.002639874610431,25.0,0.8290491040762241,101082.75902379124,5795.609438892346,2701.5875948486096,335.4089145372356,0.9096816340632053,0.14504867376383784
MPG-SM,sm_mpg,MonteCarlo,35,true,25.002535948660086,2.999818343492739,25.00386112957635,0.7057457328832429,100018.19224915696,5795.144665810068,2702.6326145308276,335.0942265611337,0.2837721848809657,0.006027380087478601
MPG-SM,sm_mpg,MonteCarlo,36,true,24.998233922801354,3.0001344587310212,25.0,0.7258323033618833,100130.26366925136,5795.342405016133,2702.195070516628,335.12930380145167,0.19767088250412268,0.0322430035508671
MPG-SM,sm_mpg,MonteCarlo,37,true,24.995087609029643,3.001819225283899,25.0,0.789689129838576,100116.16407695283,5795.481849392743,2701.872658661605,335.31732807169,0.5847193243859934,0.10075783498056921
MPG-SM,sm_mpg,MonteCarlo,38,true,24.994586665058645,3.00190318076878,25.0,0.7742310048786687,101060.07546632312,5795.505026641172,2701.821780345203,335.3266977116414,0.6404883644731088,0.08812660418117108
MPG-SM,sm_mpg,MonteCarlo,39,true,24.99238061111698,3.0021443981268976,25.000000000000004,0.821348898534266,101251.45032485016,5795.607770732296,2701.5980380845176,335.35361816195433,0.8834677797263498,0.13665648478530842
MPG-SM,sm_mpg,MonteCarlo,40,true,24.999476722209238,2.999159813505908,25.0,0.7193840882368414,101432.24827745039,5795.288956366519,2702.3231851415844,335.0205307611766,0.11057521180604098,0.019388877347054627
MPG-SM,sm_mpg,MonteCarlo,41,true,24.991000018305304,3.0027603889233467,25.0,0.8416906877460231,101668.45045449102,5795.6695982745905,2701.456863617107,335.42236422257133,1.0507267449852586,0.15883426283331661
MPG-SM,sm_mpg,MonteCarlo,42,true,24.99515653884188,3.001815348127062,25.0,0.8068505739375117,100658.55554077754,5795.4786194602675,2701.8796405144353,335.3168953713714,0.5773603720707149,0.1164493741644233
MPG-SM,sm_mpg,MonteCarlo,43,true,24.999704804415096,2.998691528571781,25.02267464719713,0.7089586652787554,100625.29279612012,5795.301202500609,2702.3569815088754,334.96945504513326,0.15160005507528845,0.009151368958716802
MPG-SM,sm_mpg,MonteCarlo,44,true,25.002079221623088,2.9995763092289547,25.010378992860787,0.7125790008076343,99983.66183740852,5795.173391201824,2702.5897683456656,335.06755593882986,0.2370559195086326,0.012589946750608691
MPG-SM,sm_mpg,MonteCarlo,45,true,24.9968289708675,3.002164572351468,25.0,0.794996993267653,100841.17556560619,5795.397898161127,2702.0479424774603,335.3558696547549,0.4286711708993347,0.10455511526257136
MPG-SM,sm_mpg,MonteCarlo,46,true,25.00031041316605,3.001558348215351,25.0,0.7511718383915205,99637.71223661791,5795.236919412098,2702.4015805414347,335.28821354042344,0.17756665472292624,0.06207396376339426
MPG-SM,sm_mpg,MonteCarlo,47,true,24.996480380142135,2.997647665028359,25.002413648136653,0.7064703573821474,100863.4640021624,5795.440465456194,2702.0248646312966,334.8518969355384,0.4726593983668128,0.006496872154240461
MPG-SM,sm_mpg,MonteCarlo,48,true,24.999699648665676,2.99925470925965,25.0,0.7126942725478049,99283.74576749548,5795.277939224648,2702.3454989335946,335.03112138793,0.08978258486751858,0.018358799573400017
MPG-SM,sm_mpg,MonteCarlo,49,true,25.00092285921029,2.999299853100105,25.00974726677531,0.7045917007312267,99861.1737595486,5795.228828005697,2702.4732243119493,335.03666957777216,0.1297114858540553,0.004676986588846841
MPG-SM,sm_mpg,MonteCarlo,50,true,24.995760705808223,2.9995308274707226,25.0,0.7326707315171219,99830.0841705719,5795.462241668543,2701.9463992799056,335.06193693343,0.4760131758194917,0.03957967281954712
MPG-SM,sm_mpg,MonteCarlo,51,true,24.995711634438994,2.99835982259825,25.0,0.7119725358487722,101209.42060373732,5795.470761132162,2701.944328758708,334.93124954214136,0.5124941861127269,0.013009058349098246
MPG-SM,sm_mpg,MonteCarlo,52,true,24.991287388108287,3.0013857387283465,25.0,0.7867106448106588,101497.23860709979,5795.663341282746,2701.4893311878245,335.26894988750405,0.9846053422224266,0.10254813729223584
MPG-SM,sm_mpg,MonteCarlo,53,true,25.0025043326722,3.0016440773233697,25.0,0.7254209192249396,98926.45379034744,5795.132982512605,2702.62327262556,335.29778112338425,0.3344746395035754,0.03186723044042919
MPG-SM,sm_mpg,MonteCarlo,54,true,25.000268765502682,3.001386531370036,25.0,0.7492788734701153,99778.22224355314,5795.239794977185,2702.3977929621637,335.26903834831734,0.15782938189593765,0.05926054141175557
MPG-SM,sm_mpg,MonteCarlo,55,true,24.998233922801354,3.0001344587310212,25.0,0.7258323033618833,100130.26366925136,5795.342405016133,2702.195070516628,335.12930380145167,0.19767088250412268,0.0322430035508671
MPG-SM,sm_mpg,MonteCarlo,56,true,24.995717922946525,3.001943827111725,25.000000000000004,0.7948320591324618,101110.95300305863,5795.451464663979,2701.936106763963,335.33123394387866,0.5249478221789305,0.1075988263486164
MPG-SM,sm_mpg,MonteCarlo,57,true,25.002434049238527,2.9997065065246966,25.012956399531156,0.7113597308489727,100506.90152051052,5795.158296809698,2702.6264233308007,335.0822212102696,0.27392628793600227,0.015672257493154408
MPG-SM,sm_mpg,MonteCarlo,58,true,25.003692743718663,2.9999997798362608,25.02231877144198,0.7069052135446762,99592.69610077929,5795.105841960244,2702.7569596644616,335.1154413528744,0.4127246655836993,0.007069123861501289
MPG-SM,sm_mpg,MonteCarlo,59,true,24.99600474819399,3.000577290983057,25.0,0.7346818385504794,101404.36355412983,5795.445185666095,2701.968497778203,335.1787250451195,0.4505239236836015,0.04299950358940914
MPG-SM,sm_mpg,MonteCarlo,60,true,25.000103687763627,3.0008240864148488,25.0,0.7423500394856121,99489.71034516726,5795.25056350159,2702.3824867808394,335.2062680555192,0.09282060278709241,0.052208589453504844
MPG-SM,sm_mpg,MonteCarlo,61,true,24.999137998440187,3.0000665205129815,25.0,0.7364526482391932,100314.6684707916,5795.30012624298,2702.2866833797,335.12172171591686,0.09648847741448457,0.039821401419094946
MPG-SM,sm_mpg,MonteCarlo,62,true,24.995472724521115,3.0007985198672222,25.0,0.7665625438449131,99687.00777536751,5795.469101705385,2701.9141368071937,335.20341476277065,0.5130761087799364,0.07901484330818692
MPG-SM,sm_mpg,MonteCarlo,63,true,25.001570372997644,3.0028645396104383,25.0,0.7503333105275761,99539.48307990076,5795.170562047075,2702.5257884905413,335.4339876869627,0.3649627178706457,0.06260030665335503
MPG-SM,sm_mpg,MonteCarlo,64,true,24.993879969014493,3.0000003032767917,25.0,0.7636800868695355,101836.10048941396,5795.548441516888,2701.755001381893,335.114331696073,0.683011772171743,0.07026979910996013
MPG-SM,sm_mpg,MonteCarlo,65,true,24.996970092175285,2.9982023979717924,25.0,0.737375995101348,101354.50305651996,5795.412247633051,2702.072010025522,334.91368050657724,0.3933199173485738,0.03756729870697351
MPG-SM,sm_mpg,MonteCarlo,66,true,24.995927140259873,2.9995564110911124,25.0,0.7369574896971889,101439.23301041049,5795.454257352395,2701.9631708771717,335.06479213485386,0.45723742525877453,0.03993178819942891
MPG-SM,sm_mpg,MonteCarlo,67,true,24.994644090194086,2.9990551634658864,25.0,0.7460709200660002,101297.61635395612,5795.517418714513,2701.8346284595955,335.0088515282183,0.6069888578793438,0.049250405637638064
MPG-SM,sm_mpg,MonteCarlo,68,true,24.99868211991736,2.9984697195984364,25.014968225476885,0.7108586229398653,100788.06258094043,5795.343636855043,2702.250835254967,334.94429733525,0.22606078406300997,0.010980437939821477
